Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.0375729,0.1422,0.12661666,204.74974,94.59648,39700,0.75895464,0.11,0.07,0.19454166,0.21249999,5.0,0.1,50,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.0114689,0.1419,0.1270833,164.15244,80.24749,79400,0.6919799,0.1,0.09,0.196375,0.20969999,5.0,0.1,100,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.0296077,0.14450002,0.12836665,153.15675,79.79426,158800,0.71277535,0.1,0.09,0.20416667,0.21849999,5.0,0.1,200,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.0719205,0.14170003,0.12606668,148.47328,78.65267,317600,0.74590147,0.09,0.07,0.19604166,0.2101,5.0,0.1,400,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1000104,0.1437,0.12479997,134.34225,74.31076,635200,0.7934625,0.08,0.07,0.198875,0.2166,5.0,0.1,800,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1006855,0.14790004,0.12905002,94.97056,59.25615,1270400,0.889887,0.07,0.07,0.21358334,0.22819999,5.0,0.1,1600,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.9704398,0.14790004,0.1297,112.34891,72.321594,39700,0.62194705,0.09,0.05,0.19704166,0.21249999,5.0,0.03,50,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.963255,0.14720005,0.13218331,101.89732,62.071957,79400,0.59990376,0.09,0.06,0.199625,0.2128,5.0,0.03,100,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.9688216,0.14450002,0.12866664,93.24814,59.62296,158800,0.611826,0.08,0.07,0.19633333,0.2149,5.0,0.03,200,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.9710814,0.1487,0.1310333,78.72797,50.22899,317600,0.6255655,0.07,0.06,0.1895,0.2061,5.0,0.03,400,200,0.9,0.3,36000,fashion,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
