Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.8964842,0.032900035,0.018116653,327.7931,178.05098,39700,0.5304591,0.13,0.11,0.087875,0.092099994,5.0,0.1,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.8879774,0.0273,0.01698333,319.92535,167.74438,79400,0.48931676,0.12,0.09,0.077125,0.081099994,5.0,0.1,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.007563,0.021700025,0.009616673,419.50327,231.741,158800,0.619449,0.11,0.12,0.07108333,0.0764,5.0,0.1,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.8458898,0.02880001,0.021766663,216.71092,113.38223,317600,0.44981244,0.1,0.09,0.07683333,0.080699995,5.0,0.1,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.84441775,0.030800045,0.02428335,165.50015,89.841194,635200,0.44218558,0.08,0.08,0.07283333,0.0821,5.0,0.1,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.0457318,0.024300039,0.012916684,258.2403,130.40376,1270400,0.6045629,0.09,0.08,0.088083334,0.0889,5.0,0.1,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.79413366,0.033000052,0.026449978,176.79456,116.568146,39700,0.39150238,0.1,0.08,0.083291665,0.0858,5.0,0.03,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.84768796,0.026199996,0.018016636,226.80264,135.32053,79400,0.43576106,0.11,0.09,0.084416665,0.0863,5.0,0.03,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.765256,0.03150004,0.025966644,151.05014,92.88859,158800,0.36116025,0.09,0.07,0.072916664,0.0783,5.0,0.03,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.72029215,0.040199995,0.03485,102.27967,59.904037,317600,0.33414653,0.08,0.07,0.08116666,0.0843,5.0,0.03,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.72802174,0.039000034,0.035083294,80.75389,48.308216,635200,0.38159424,0.06,0.05,0.07191667,0.0722,5.0,0.03,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.8079675,0.035300016,0.028149962,86.0222,48.809395,1270400,0.4235805,0.06,0.06,0.08054166,0.0824,5.0,0.03,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7900738,0.034700036,0.028083324,155.34753,108.5391,39700,0.3700105,0.09,0.08,0.08116666,0.0852,5.0,0.01,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7834173,0.03250003,0.02700001,155.44513,95.92206,79400,0.36285567,0.1,0.07,0.083624996,0.085,5.0,0.01,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.74926794,0.035300016,0.030133307,121.755226,77.658104,158800,0.34101766,0.07,0.07,0.07258333,0.0694,5.0,0.01,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.71090317,0.043500006,0.038150012,83.68035,50.70866,317600,0.3105508,0.07,0.06,0.07808333,0.0821,5.0,0.01,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.714078,0.043600023,0.03909999,64.08007,39.464497,635200,0.32727307,0.06,0.05,0.0795,0.080299996,5.0,0.01,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.76161265,0.039200008,0.03366667,57.464306,34.45018,1270400,0.37985626,0.06,0.06,0.09883333,0.099599995,5.0,0.01,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.78946286,0.03460002,0.028850019,149.32762,106.31233,39700,0.36714208,0.09,0.06,0.07825,0.079799995,5.0,0.003,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7608837,0.036500037,0.031799972,132.08997,82.58825,79400,0.33811674,0.08,0.06,0.074666664,0.0769,5.0,0.003,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7445384,0.036800027,0.031766653,111.62766,72.05903,158800,0.33418912,0.07,0.07,0.07379167,0.0757,5.0,0.003,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7144978,0.044500053,0.038150012,80.80775,49.287174,317600,0.31152934,0.07,0.05,0.078999996,0.0826,5.0,0.003,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.716475,0.0431,0.03979999,60.599,37.46783,635200,0.31821212,0.06,0.05,0.08129167,0.081099994,5.0,0.003,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.75321776,0.04090005,0.035950005,50.39775,30.66731,1270400,0.36276034,0.05,0.05,0.09195833,0.0916,5.0,0.003,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7877195,0.034400046,0.028999984,146.93129,105.16493,39700,0.3634552,0.09,0.08,0.081083335,0.0871,5.0,0.001,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.75331056,0.037200034,0.033199966,126.20036,79.18341,79400,0.33135334,0.08,0.06,0.077375,0.0743,5.0,0.001,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.746057,0.037100017,0.032099962,109.15263,70.68951,158800,0.33328795,0.07,0.07,0.07495833,0.0769,5.0,0.001,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.71480054,0.044100046,0.038466632,79.55129,48.631573,317600,0.31117153,0.07,0.05,0.0805,0.081999995,5.0,0.001,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7186582,0.04370004,0.040449977,59.118507,36.62592,635200,0.3171102,0.06,0.05,0.085,0.084199995,5.0,0.001,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.75028414,0.04120004,0.037133336,48.56561,29.657282,1270400,0.35951316,0.05,0.05,0.08870833,0.092999995,5.0,0.001,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.8975443,0.028700054,0.01576668,349.78326,193.00177,39700,0.54067725,0.14,0.12,0.09279167,0.0999,5.0,0.1,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7514738,0.03400004,0.029783309,183.51945,97.75072,79400,0.38902855,0.1,0.09,0.075208336,0.0739,5.0,0.1,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7655907,0.032700002,0.02759999,180.10635,97.351845,158800,0.38698918,0.1,0.08,0.07333333,0.080699995,5.0,0.1,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7982071,0.030800045,0.025933325,175.0073,94.35751,317600,0.4093122,0.1,0.09,0.08120833,0.0831,5.0,0.1,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.8474868,0.030499995,0.024916649,168.96703,89.33188,635200,0.4468975,0.09,0.07,0.077416666,0.0826,5.0,0.1,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.9714178,0.027700007,0.01849997,196.19736,98.6379,1270400,0.5714049,0.08,0.07,0.079791665,0.084,5.0,0.1,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.8557381,0.02880001,0.019666672,227.57404,151.50801,39700,0.4845566,0.11,0.08,0.085,0.089499995,5.0,0.03,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.691892,0.041700006,0.03886664,111.480965,66.33733,79400,0.32261103,0.07,0.07,0.07425,0.0734,5.0,0.03,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7183812,0.03730005,0.034366667,117.6656,70.09648,158800,0.33889785,0.08,0.06,0.07091667,0.0758,5.0,0.03,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.72105175,0.03790003,0.03393334,101.287476,60.473793,317600,0.33544457,0.07,0.06,0.068958335,0.071499996,5.0,0.03,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7315906,0.039900005,0.035250008,81.8201,48.060764,635200,0.38654205,0.06,0.05,0.07208333,0.0729,5.0,0.03,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.77909815,0.038100004,0.031099975,73.946785,42.028664,1270400,0.39550796,0.06,0.05,0.082166664,0.082499996,5.0,0.03,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.79537785,0.0352,0.02698332,160.79921,112.91987,39700,0.39464977,0.1,0.07,0.08575,0.0861,5.0,0.01,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.6927415,0.042900026,0.041083336,97.64944,60.412453,79400,0.2997017,0.07,0.07,0.078541666,0.080699995,5.0,0.01,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7198889,0.038300037,0.035416663,103.4206,63.665096,158800,0.31993976,0.07,0.06,0.0725,0.0733,5.0,0.01,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.70424855,0.042300045,0.038966656,79.136215,49.023502,317600,0.31299508,0.07,0.05,0.077583335,0.0751,5.0,0.01,400,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7295444,0.041700006,0.037133336,68.86761,41.429337,635200,0.33116758,0.06,0.05,0.07779167,0.078899994,5.0,0.01,800,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.73557985,0.043799996,0.037549973,49.37418,29.772217,1270400,0.36036065,0.06,0.05,0.09533333,0.1003,5.0,0.01,1600,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7904851,0.035300016,0.029249966,145.8731,103.90199,39700,0.3708331,0.09,0.07,0.080875,0.084199995,5.0,0.003,50,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.69426215,0.04430002,0.04275,93.14841,58.416668,79400,0.29495114,0.07,0.07,0.08054166,0.0819,5.0,0.003,100,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.72773993,0.038300037,0.035600007,101.15087,62.8553,158800,0.31741583,0.07,0.06,0.07541667,0.081099994,5.0,0.003,200,200,0.9,0.1,36000,mnist,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
