Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.0382771,0.1426,0.12374997,213.84792,92.34247,39700,0.7930614,0.0,0.11,0.26004165,0.2759,5.0,0.1,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0443114,0.15210003,0.13461667,157.57727,70.41877,79400,0.78008735,0.0,0.08,0.2755,0.28869998,5.0,0.1,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.1060114,0.15100002,0.13384998,174.73946,73.6099,158800,0.86628854,0.0,0.07,0.27358332,0.29799998,5.0,0.1,200,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2434362,0.15830004,0.1367833,226.4461,91.099396,317600,0.977532,0.0,0.07,0.30054167,0.313,5.0,0.1,400,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.3183928,0.1559,0.13664997,173.53156,100.32157,635200,1.0390134,0.0,0.06,0.31595832,0.33139998,5.0,0.1,800,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.541013,0.16230005,0.1375333,260.72238,174.51874,1270400,1.2412258,0.0,0.06,0.34408334,0.359,5.0,0.1,1600,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0121683,0.14610004,0.12889999,106.49223,73.20198,39700,0.7711002,0.0,0.06,0.29929167,0.3132,5.0,0.03,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0295595,0.14710003,0.12895,98.55529,63.319416,79400,0.7624168,0.0,0.06,0.29425,0.3125,5.0,0.03,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0574862,0.15280002,0.13511664,84.4878,53.993706,158800,0.7898996,0.0,0.07,0.31308332,0.3193,5.0,0.03,200,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.1080904,0.15600002,0.13765001,72.32129,46.085266,317600,0.8684876,0.0,0.07,0.3335,0.35169998,5.0,0.03,400,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2179343,0.15180004,0.12865001,74.513664,49.02435,635200,0.9908898,0.0,0.07,0.37274998,0.3929,5.0,0.03,800,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.3701502,0.1692,0.14254999,91.06254,60.241962,1270400,1.1693679,0.0,0.07,0.43054166,0.4299,5.0,0.03,1600,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0296348,0.14810002,0.12748331,97.765686,74.738174,39700,0.7680367,0.0,0.11,0.319125,0.3322,5.0,0.01,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0400329,0.1476,0.12953335,83.0156,60.608555,79400,0.77129585,0.0,0.07,0.31554165,0.3295,5.0,0.01,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.079139,0.14790004,0.12949997,67.312195,50.224384,158800,0.8110586,0.0,0.07,0.34025,0.3403,5.0,0.01,200,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.099792,0.15030003,0.13261664,43.437267,32.64367,317600,0.86767876,0.0,0.07,0.3665,0.3757,5.0,0.01,400,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.1736064,0.15170002,0.13211668,34.950783,25.83702,635200,0.9465202,0.0,0.05,0.3915,0.4015,5.0,0.01,800,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2751235,0.15670002,0.13866663,32.005875,22.28516,1270400,1.0906385,0.0,0.05,0.446,0.44509998,5.0,0.01,1600,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.032873,0.14720005,0.12771666,90.769264,73.24291,39700,0.768634,0.0,0.09,0.32258332,0.3399,5.0,0.003,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.042912,0.14780003,0.12891668,77.16905,59.28969,79400,0.7736553,0.0,0.07,0.32054165,0.32549998,5.0,0.003,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0856086,0.14810002,0.12798333,64.629456,50.241344,158800,0.8205055,0.0,0.07,0.33733332,0.35999998,5.0,0.003,200,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.1047689,0.15040004,0.13271666,41.253647,31.757935,317600,0.8673304,0.0,0.06,0.36229166,0.37579998,5.0,0.003,400,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.1844587,0.14920002,0.1304,33.583668,25.037598,635200,0.95691794,0.0,0.05,0.3945833,0.40609998,5.0,0.003,800,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2652798,0.15420002,0.13174999,20.120201,14.730607,1270400,1.0818621,0.0,0.05,0.46895832,0.4899,5.0,0.003,1600,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0299621,0.1462,0.12861663,86.29352,71.25029,39700,0.7700819,0.0,0.09,0.32504165,0.34939998,5.0,0.001,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0389156,0.14820004,0.12965,72.898994,57.22155,79400,0.78357023,0.0,0.05,0.32058334,0.3293,5.0,0.001,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0806494,0.14840001,0.12843335,60.73934,48.138294,158800,0.8159686,0.0,0.06,0.34120834,0.3488,5.0,0.001,200,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0971689,0.15020001,0.13323331,37.831833,29.552137,317600,0.85805595,0.0,0.06,0.36508334,0.3674,5.0,0.001,400,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.1821016,0.1487,0.13071668,31.39095,23.637157,635200,0.95276105,0.0,0.05,0.399375,0.4015,5.0,0.001,800,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.2719841,0.15200001,0.13003331,20.28725,14.793375,1270400,1.0874877,0.0,0.05,0.473875,0.4955,5.0,0.001,1600,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",6,64000
1.0383711,0.13990003,0.123316646,211.097,92.497025,39700,0.78912073,0.0,0.08,0.25404167,0.2699,5.0,0.1,50,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.0783914,0.14720005,0.12979996,198.8993,83.04307,79400,0.83134323,0.0,0.09,0.27258334,0.2856,5.0,0.1,100,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.1090384,0.15460002,0.13755,179.03859,72.83413,158800,0.8675756,0.0,0.07,0.27733332,0.2936,5.0,0.1,200,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.2011528,0.15760005,0.13798332,189.0471,81.75502,317600,0.9383112,0.0,0.07,0.29320833,0.3087,5.0,0.1,400,200,0.9,0.3,36000,fashion,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
