Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.8002136,0.037800014,0.03189999,217.93639,134.36826,39700,0.53467387,0.0,0.09,0.14704166,0.1452,5.0,0.1,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.81717014,0.03820002,0.034166634,190.86082,100.89662,79400,0.5757009,0.0,0.09,0.15079166,0.15349999,5.0,0.1,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.86399585,0.041400015,0.035316646,178.46895,90.21246,158800,0.6185736,0.0,0.09,0.168375,0.1673,5.0,0.1,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.9812453,0.03670001,0.030200005,214.29024,105.06588,317600,0.6842349,0.0,0.07,0.166125,0.1726,5.0,0.1,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.2164322,0.030499995,0.016966641,358.14536,184.83484,635200,0.89130217,0.0,0.08,0.19670834,0.20439999,5.0,0.1,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.3653663,0.028900027,0.017833352,403.18854,227.45282,1270400,1.0344235,0.0,0.08,0.22070833,0.2233,5.0,0.1,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.7715291,0.046200037,0.04124999,121.73252,93.38236,39700,0.49394068,0.0,0.09,0.17670833,0.1752,5.0,0.03,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.8164575,0.04190004,0.038749993,120.83506,79.36679,79400,0.51821226,0.0,0.07,0.17633334,0.1814,5.0,0.03,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.87139666,0.043000042,0.03824997,108.31973,68.42684,158800,0.5748681,0.0,0.07,0.19541666,0.19569999,5.0,0.03,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.95054924,0.042400002,0.036533296,97.24133,57.37683,317600,0.6666302,0.0,0.06,0.214,0.2182,5.0,0.03,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
