Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.122941,0.13410002,0.11081666,158.6559,108.27416,39700,0.7580867,0.1,0.09,0.22716667,0.2426,5.0,0.1,50,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1096214,0.134,0.112716675,142.33635,90.77242,79400,0.72537285,0.1,0.06,0.22141667,0.23889999,5.0,0.1,100,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1414875,0.12940001,0.10944998,141.45834,91.94606,158800,0.7664159,0.09,0.07,0.219,0.2401,5.0,0.1,200,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1375284,0.13190001,0.11021668,118.35415,75.22798,317600,0.75488544,0.09,0.07,0.23054166,0.2518,5.0,0.1,400,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1306305,0.13480002,0.11035001,99.831116,64.68132,635200,0.7713408,0.08,0.07,0.22462499,0.2488,5.0,0.1,800,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1242974,0.1351,0.11224997,76.92179,49.98445,1270400,0.78534484,0.07,0.07,0.23908333,0.24929999,5.0,0.1,1600,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1225605,0.13530004,0.11173332,150.16847,104.89424,39700,0.7467893,0.1,0.07,0.22895832,0.23799999,5.0,0.03,50,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.114068,0.1358,0.11294997,134.5527,87.20846,79400,0.71930164,0.09,0.06,0.216125,0.22929999,5.0,0.03,100,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.149647,0.13069999,0.10961664,132.37778,87.70345,158800,0.77066475,0.09,0.06,0.22308333,0.2427,5.0,0.03,200,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1396204,0.1318,0.11023331,110.55669,71.206055,317600,0.7556394,0.08,0.06,0.21683334,0.2394,5.0,0.03,400,1000,0.0,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
