Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.99762183,0.14650005,0.12891668,75.755775,52.3751,158800,0.6158635,0.08,0.06,0.208875,0.2277,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.257133,0.14160001,0.116033316,104.23273,70.3124,158800,0.87451947,0.1,0.08,0.23383333,0.2548,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.6228392,0.14420003,0.08526665,161.91095,110.36106,158800,1.3595264,0.15,0.13,0.32333332,0.34719998,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.4645743,0.17180002,0.13346666,39.959576,30.64683,158800,1.0136586,0.13,0.1,0.28833333,0.3272,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.99278027,0.14920002,0.13134998,74.403786,50.165184,158800,0.60832185,0.07,0.06,0.20808333,0.2164,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
1.2674388,0.14200002,0.11466664,107.22702,71.35651,158800,0.8854388,0.1,0.08,0.2385,0.2541,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
1.6274457,0.14310002,0.085733294,164.58257,111.06291,158800,1.3731227,0.13,0.12,0.29749998,0.3196,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
1.5047103,0.17080003,0.12773335,47.003864,33.922146,158800,1.0601635,0.12,0.09,0.28233334,0.3093,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.9842032,0.1498,0.13124996,74.125885,47.830994,158800,0.5986189,0.07,0.05,0.199375,0.21579999,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",3,1024000
1.2573886,0.14100003,0.11596668,106.02799,66.885635,158800,0.8622229,0.1,0.08,0.24108332,0.2565,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",3,1024000
