Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.74926794,0.035300016,0.030133307,121.755226,77.658104,158800,0.34101766,0.07,0.07,0.07258333,0.0694,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.0415602,0.034500003,0.019933343,143.30205,93.045715,158800,0.5607505,0.1,0.09,0.08733333,0.1052,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.1669407,0.05520004,0.03213334,83.58517,56.45484,158800,0.6956231,0.11,0.08,0.11766666,0.1321,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
1.2595466,0.07880002,0.051733315,44.280563,31.138268,158800,0.6769675,0.11,0.07,0.13466667,0.15339999,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",1,1024000
0.7198889,0.038300037,0.035416663,103.4206,63.665104,158800,0.31993976,0.07,0.06,0.0725,0.0733,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
1.0242134,0.03550005,0.02246666,138.3624,85.75721,158800,0.5407487,0.1,0.08,0.092583336,0.100499995,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
1.1709392,0.05760002,0.034399986,83.81205,54.169937,158800,0.7350988,0.12,0.1,0.14966667,0.14909999,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
1.2440275,0.08410001,0.052933335,41.823643,28.760147,158800,0.6599662,0.11,0.08,0.13733333,0.16679999,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",2,1024000
0.7693692,0.03250003,0.028016627,132.35283,82.04197,158800,0.33999518,0.08,0.06,0.069125,0.0744,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",3,1024000
1.0220157,0.033800006,0.021899998,139.3498,88.58675,158800,0.54006165,0.09,0.09,0.08225,0.0941,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,GELU,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)",3,1024000
