Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.0703988,0.14650005,0.13071668,64.416214,48.750473,158800,0.8066121,0.0,0.07,0.33258334,0.34289998,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.2701215,0.13990003,0.11613333,89.11811,66.06411,158800,0.9798859,0.0,0.08,0.33908334,0.3585,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.563896,0.14430004,0.08579999,136.8254,102.19773,158800,1.342404,0.0,0.13,0.36949998,0.3836,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.4453565,0.16960001,0.13146669,35.471596,30.754139,158800,1.1133312,0.0,0.1,0.35666665,0.3836,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.0731188,0.14880002,0.13050002,64.35509,48.89409,158800,0.8080372,0.0,0.07,0.33245832,0.3414,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.276355,0.1419,0.11470002,89.58484,67.15411,158800,0.9856155,0.0,0.08,0.34291667,0.3615,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.5909561,0.143,0.085733294,148.28831,111.2684,158800,1.379215,0.0,0.14,0.3665,0.396,5.0,0.01,200,200,0.9,0.3,9000,fashion,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.462421,0.16930002,0.12533331,37.911053,33.02426,158800,1.1428018,0.0,0.12,0.37866667,0.4037,5.0,0.01,200,200,0.9,0.3,4500,fashion,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.0682917,0.15060002,0.13335001,61.215637,43.602055,158800,0.80003655,0.0,0.06,0.331375,0.3416,5.0,0.01,200,200,0.9,0.3,36000,fashion,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",3,64000
1.2818619,0.1419,0.11496663,93.24362,64.60821,158800,0.98888093,0.0,0.1,0.34808332,0.36839998,5.0,0.01,200,200,0.9,0.3,18000,fashion,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",3,64000
