Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.87993765,0.045900047,0.040216684,90.129974,61.422512,158800,0.58550346,0.0,0.05,0.20308334,0.20269999,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.1649152,0.03760004,0.019500017,150.7416,104.614395,158800,0.81764984,0.0,0.11,0.22733334,0.2364,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.2488109,0.05790001,0.032000005,85.06687,61.83911,158800,0.9274762,0.0,0.11,0.25033334,0.2634,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.2693532,0.084800005,0.049866676,38.261333,31.919306,158800,0.8589075,0.0,0.08,0.234,0.25869998,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.8962031,0.038300037,0.036849976,103.40947,67.913345,158800,0.58598703,0.0,0.06,0.20225,0.2016,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.1524261,0.036000013,0.020299971,148.13531,100.26203,158800,0.80437344,0.0,0.09,0.20766667,0.2215,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.2345402,0.05730003,0.03426665,81.74528,57.9791,158800,0.93464744,0.0,0.11,0.25666666,0.2575,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.2500985,0.08380002,0.052399993,35.231445,29.996601,158800,0.8481604,0.0,0.07,0.21733333,0.25079998,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.91882926,0.035100043,0.031633317,120.97866,80.154045,158800,0.5956435,0.0,0.08,0.21216667,0.2118,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",3,64000
1.1610138,0.035100043,0.01969999,151.58784,105.01934,158800,0.8079638,0.0,0.1,0.225,0.2261,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",3,64000
